,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Patagonia Nano Puff Jacket - Men's,Patagonia,249,0,4.5,10,camping-and-hiking,2020-10-17
Prana Moaby Pants - Men's,Prana,67.97,20,4,1,camping-and-hiking,2020-10-17
The North Face Utility Hybrid Hiker Tights - Women's,The North Face,79.97,20,3.9,24,camping-and-hiking,2020-10-17
Hydro Flask 621ml Standard Mouth Bottle,Hydro Flask,39.95,0,4.7,549,camping-and-hiking,2020-10-17
Zamberlan Vioz GT Gore-Tex Backpacking Boots - Women's,Zamberlan,299.95,0,4.3,77,camping-and-hiking,2020-10-17
Garmin GPSMAP 64X GPS,Garmin,299.97,25,0,0,camping-and-hiking,2020-10-17
Grabber Hand Warmers (10 Pack),Grabber,18.95,0,0,0,camping-and-hiking,2020-10-17
Keen Targhee II Mid Waterproof Light Trail Shoes - Men's,Keen,189.95,0,2.6,5,camping-and-hiking,2020-10-17
WrightSock Double Layer Escape Crew Socks - Unisex,WrightSock,23.95,0,4.3,12,camping-and-hiking,2020-10-17
Buff Adult Filter Mask - Unisex,Buff,39.95,0,3.8,8,camping-and-hiking,2020-10-17
Scarpa SL Active Backpacking Boots - Men's,Scarpa,389.95,0,4.4,10,camping-and-hiking,2020-10-17
Garmin Venu SQ - Unisex,Garmin,279.95,0,4.8,12,camping-and-hiking,2020-10-17
MEC Outpost 25L Daypack - Unisex,MEC,47.97,56,4.7,6,camping-and-hiking,2020-10-17
MEC Aura Hoodie - Men's,MEC,149.95,0,4,1,camping-and-hiking,2020-10-17
BioLite FirePit,BioLite,269.95,0,4.3,217,camping-and-hiking,2020-10-17
Ooni Koda Pizza Oven,Ooni,438.95,0,4.5,6,camping-and-hiking,2020-10-17
Hydro Flask 946ml Wide Mouth Bottle,Hydro Flask,47.95,0,4.5,73,camping-and-hiking,2020-10-17
Leatherman Wave + Multi-Tool,Leatherman,132.95,0,5,5,camping-and-hiking,2020-10-17
Merrell Moab 2 Vent Light Trail Shoes - Men's,Merrell,139.95,0,4.6,8,camping-and-hiking,2020-10-17
Vasque Breeze AT Mid Gore-Tex Hiking Boots - Men's,Vasque,199.95,0,4,3,camping-and-hiking,2020-10-17
Salomon Vaya Mid Gore-Tex Light Trail Shoes - Women's,Salomon,189.95,0,4.3,29,camping-and-hiking,2020-10-17
Nikwax Tech Wash Cleaner 300ml,Nikwax,12.95,0,3.4,10,camping-and-hiking,2020-10-17
Oboz Bridger Low Waterproof Light Trail Shoes - Men's,Oboz,189.95,0,4.5,20,camping-and-hiking,2020-10-17
MEC Reactor 3.8 Sleeping Pad - Unisex,MEC,89.95,0,4.3,80,camping-and-hiking,2020-10-17
MEC Peak Comfort AirGrid Lite Long Sleeve Base Layer - Men's,MEC,34.95,0,4,1,camping-and-hiking,2020-10-17
Nikwax TX.Direct Waterproofer Spray 300ml,Nikwax,17.95,0,3.6,30,camping-and-hiking,2020-10-17
Gear Aid Tenacious Tape Repair Tape,Gear Aid,7.95,0,4.3,450,camping-and-hiking,2020-10-17
Smartwool Merino 250 Baselayer Bottoms - Men's,Smartwool,129.95,0,0,0,camping-and-hiking,2020-10-17
Fjallraven Fjallglim Long Sleeve Shirt - Men's,Fjallraven,129.95,0,5,1,camping-and-hiking,2020-10-17
Arc'teryx Aerios FL Mid Gore-Tex Light Hiking Shoes - Men's,Arc'teryx,214.95,0,4.1,41,camping-and-hiking,2020-10-17
MEC Peak Comfort AirGrid Lite Base Layer Bottoms - Women's,MEC,39.95,0,3.5,2,camping-and-hiking,2020-10-17
Salomon Outline Mid Gore-Tex Trail Shoes - Men's,Salomon,179.95,0,4.3,26,camping-and-hiking,2020-10-17
Zamberlan Tofane NW GT Backpacking Boots - Men's,Zamberlan,449.95,0,4.6,48,camping-and-hiking,2020-10-17
Black Diamond Astro 250 Headlamp,Black Diamond,24.95,0,5,1,camping-and-hiking,2020-10-17
MSR PocketRocket 2 Stove,MSR,59.95,0,4.5,28,camping-and-hiking,2020-10-17
Garmin Forerunner 245 Music,Garmin,479.95,0,4.2,212,camping-and-hiking,2020-10-17
Nikwax TX.Direct Spray-On Waterproofer Bulk,Nikwax,39.95,0,4.7,3,camping-and-hiking,2020-10-17
Zamberlan 330 Marie Gore-Tex Backpacking Boots - Women's,Zamberlan,319.95,0,4.2,4,camping-and-hiking,2020-10-17
Arc'teryx Acrux TR Gore-Tex Hiking Boots - Men's,Arc'teryx,339.95,0,4.2,20,camping-and-hiking,2020-10-17
Darn Tough Midweight Hiker Boot Socks - Women's,Darn Tough,34.95,0,5,16,camping-and-hiking,2020-10-17
MEC Compact Towel,MEC,39.95,0,3.8,10,camping-and-hiking,2020-10-17
Patagonia Micro Puff Hoody - Women's,Patagonia,375,0,4.8,4,camping-and-hiking,2020-10-17
Garmin Fenix 6S Sapphire - Unisex,Garmin,1099.99,0,4.3,100,camping-and-hiking,2020-10-17
MEC Reactor 6.5 Double Sleeping Pad - Unisex,MEC,209.95,0,4.6,75,camping-and-hiking,2020-10-17
MEC Mallard -5C Down Sleeping Bag - Unisex,MEC,249.95,0,4.9,10,camping-and-hiking,2020-10-17
Fjallraven Abisko Trekking Tights - Women's,Fjallraven,189.95,0,4.4,7,camping-and-hiking,2020-10-17
Scarpa Moraine Gore-Tex Light Trail Shoes - Women's,Scarpa,219.95,0,5,3,camping-and-hiking,2020-10-17
MEC Draco -9C Wide Down Sleeping Bag - Men's,MEC,289.95,0,5,1,camping-and-hiking,2020-10-17
