,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Auclair Abner Double Knit Gloves - Men's,Auclair,19.95,0,0,0,clothing,2020-10-17
Sportful Reflex Jacket - Men's,Sportful,69.95,0,2.2,6,clothing,2020-10-17
MEC RnB Shorts - Men's,MEC,35.98,52,5,2,clothing,2020-10-17
Arc'teryx Sabre AR Gore-Tex Pants - Men's,Arc'teryx,599.95,30,4.6,9,clothing,2020-10-17
Patagonia R1 Pullover Hoody - Men's,Patagonia,199,0,5,1,clothing,2020-10-17
Tentree Juniper Classic T-Shirt - Men's,Tentree,39.95,0,0,0,clothing,2020-10-17
The North Face Sprag 5-Pocket Pants - Men's,The North Face,71.97,20,0,0,clothing,2020-10-17
"Prana Brion Pants 30"" Inseam - Men's",Prana,71.97,39,5,2,clothing,2020-10-17
Prana Zion Chino Pants - Men's,Prana,79.97,20,0,0,clothing,2020-10-17
MEC Trax Nordic Soft Shell Vest - Men's,MEC,99.95,35,0,0,clothing,2020-10-17
Salomon Agile Warm Tights - Men's,Salomon,119.95,0,4.7,3,clothing,2020-10-17
Sportful Cardio Tech Jersey - Men's,Sportful,89.93,50,4,1,clothing,2020-10-17
MEC Northlink Parka - Men's,MEC,229.95,0,0,0,clothing,2020-10-17
Patagonia Down Sweater Hoody - Men's,Patagonia,349,0,5,3,clothing,2020-10-17
Arc'teryx Aptin Shorts - Men's,Arc'teryx,99.95,50,4.6,24,clothing,2020-10-17
Prana Ulterior Slim Pants - Men's,Prana,87.97,20,0,0,clothing,2020-10-17
Baro Drywear The Manning Jacket - Men's,Baro Drywear,347.95,0,0,0,clothing,2020-10-17
Arc'teryx Bernal Long Sleeve Shirt - Men's,Arc'teryx,129.95,0,4.5,14,clothing,2020-10-17
Kuhl Revel 1/4 Zip - Men's,Kuhl,99.95,0,5,1,clothing,2020-10-17
Smartwool Intraknit Merino 250 Thermal 1/4 Zip Top - Men's,Smartwool,189.95,0,0,0,clothing,2020-10-17
Arc'teryx Kaslo Long Sleeve Shirt - Men's,Arc'teryx,119.95,0,3,2,clothing,2020-10-17
Patagonia Fjord Flannel Shirt - Men's,Patagonia,109,0,4.8,11,clothing,2020-10-17
Patagonia Straight Fit Cords - Men's,Patagonia,109,0,0,0,clothing,2020-10-17
Patagonia Houdini Air Jacket - Men's,Patagonia,209,0,5,1,clothing,2020-10-17
MEC Classic Short Sleeve T-shirt - Men's,MEC,17.95,0,3.3,14,clothing,2020-10-17
Patagonia Venga Rock Pants - Men's,Patagonia,76.3,30,3,3,clothing,2020-10-17
Showers Pass Transit Pants - Men's,Showers Pass,149.95,0,4.5,60,clothing,2020-10-17
MEC Mica 2 Shorts - Men's,MEC,69.95,51,3.6,8,clothing,2020-10-17
Phelps Pursuit 2.0 Triathlon Wetsuit - Men's,Phelps,299.95,0,3,1,clothing,2020-10-17
"DU/ER Performance Denim Slim Pants (32"" Inseam) - Men's",DU/ER,139.95,0,5,9,clothing,2020-10-17
Fjallraven Greenland Winter Jacket - Men's,Fjallraven,399.95,0,3,2,clothing,2020-10-17
Arc'teryx Gamma LT Pants - Men's,Arc'teryx,199.95,20,4.5,108,clothing,2020-10-17
MEC RnB Pants - Men's,MEC,79.95,0,3,2,clothing,2020-10-17
