,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Kombi Baby Animal Socks - Infants,Kombi,6.98,50,0,0,kids,2020-10-17
MEC Sunnyday Joggers - Infants,MEC,12.94,48,3.7,3,kids,2020-10-17
MEC Cozy Hoodie - Children,MEC,34.95,0,5,1,kids,2020-10-17
MEC Scout Convertible Pants - Boys' - Youths,MEC,34.94,45,5,3,kids,2020-10-17
Reima Kipina Reimatec Winter Overall - Children to Youths,Reima,239.95,0,0,0,kids,2020-10-17
Patagonia Hi-Loft Down Sweater Hoody - Infants to Children,Patagonia,159,0,3.2,5,kids,2020-10-17
Kombi Original Gloves - Children,Kombi,34.95,0,2.8,4,kids,2020-10-17
Patagonia Refugio Pack 28L - Unisex,Patagonia,110,0,4.8,5,kids,2020-10-17
Reima Huurre Merino Wool Fleece Lined Beanie - Children to Youths,Reima,39.95,0,5,1,kids,2020-10-17
Gordini Striker Mitts - Infants to Children,Gordini,24.95,0,2.7,14,kids,2020-10-17
Buff Filter Masks - Youths,Buff,39.95,0,3.3,3,kids,2020-10-17
Gordini Tiptop Junior Gloves - Children to Youths,Gordini,45,0,0,0,kids,2020-10-17
Vasque St Elias Ultradry Boots - Children to Youths,Vasque,99.95,0,3.1,7,kids,2020-10-17
Nalgene MEC S'more Adventure Widemouth Bottle,Nalgene,16.95,0,5,1,kids,2020-10-17
Smartwool Wintersport Stripe Socks - Children to Youths,Smartwool,19.95,0,0,0,kids,2020-10-17
Nalgene 500ml Everyday Narrow-Mouth Water Bottle,Nalgene,12.25,0,5,8,kids,2020-10-17
The North Face Glacier Full Zip Hoodie - Infants,The North Face,44.99,20,4.5,2,kids,2020-10-17
WrightSock Coolmesh II Crew Socks - Children to Youths,WrightSock,14.95,0,3,2,kids,2020-10-17
UGG Butte II CWR Boots - Children to Youths,UGG,159.95,0,4.9,165,kids,2020-10-17
MEC Roaster Mitts - Infants,MEC,12.95,0,2.7,3,kids,2020-10-17
Osprey Daylite Backpack - Youths,Osprey,45,25,3,2,kids,2020-10-17
Timbuk2 Scholar Tote Pack - Unisex,Timbuk2,74.93,35,0,0,kids,2020-10-17
Kombi Animal Family Socks - Children,Kombi,14.95,0,1,1,kids,2020-10-17
Timberland Chillberg Waterproof Mid Insulated Boots - Children to Youths,Timberland,114.95,0,4.5,17,kids,2020-10-17
Vasque Breeze AT Ultradry Hiking Boots - Children to Youths,Vasque,94.95,0,1,4,kids,2020-10-17
MEC Explorer Pants - Girls' - Youths,MEC,38.97,53,2,1,kids,2020-10-17
Humangear GoTubb 86ml 3-Pack,Humangear,12.95,0,4,1272,kids,2020-10-17
MEC Wanderlust Tights - Girls' - Children,MEC,20.94,40,0,0,kids,2020-10-17
Kombi Little Dreamer Children Hat - Children,Kombi,11.18,60,5,1,kids,2020-10-17
Reima Lappi Reimatec Winter Overall - Infants to Children,Reima,194.95,0,0,0,kids,2020-10-17
Smartwool Ski Racer Socks - Children to Youths,Smartwool,24.95,0,0,0,kids,2020-10-17
MEC Easy Breezy Sun Suit - Infants to Children,MEC,19.93,50,0,0,kids,2020-10-17
MEC 24 Hr Pack - Unisex,MEC,79.95,0,4.8,5,kids,2020-10-17
Reima Starrie Merino Balaclava - Infants to Children,Reima,49.95,0,0,0,kids,2020-10-17
Outdoor Research Flurry Sensor Gloves - Youths,Outdoor Research,28.95,0,4.7,6,kids,2020-10-17
Reima Heiberg Down Jacket - Children to Youths,Reima,179.95,0,0,0,kids,2020-10-17
Bula Picaso Beanie - Children to Youths,Bula,27.95,0,0,0,kids,2020-10-17
Patagonia Reversible Tribbles Pants - Infants to Children,Patagonia,75,0,0,0,kids,2020-10-17
MEC Bambini Pullover - Infants,MEC,27.95,0,4.2,5,kids,2020-10-17
Klean Kanteen Kid Vacuum Classic Sport Cap,Klean Kanteen,34.95,0,4.6,110,kids,2020-10-17
Thule Urban Glide 2 Double Stroller - Infants to Children,Thule,849.95,0,4.5,36,kids,2020-10-17
United By Blue Short Sleeve Graphic T-Shirt - Children,United,11.94,52,0,0,kids,2020-10-17
Pocket Disc Sport Edition,Pocket Disc,18,0,4.2,769,kids,2020-10-17
Klean Kanteen Kid Classic Sippy Cap,Klean Kanteen,24.95,0,4.6,100,kids,2020-10-17
MEC Skylight UPF Long Sleeve T-Shirt - Infants,MEC,9.93,50,5,1,kids,2020-10-17
MEC Guide Convertible Pants - Girls' - Youths,MEC,41.97,40,0,0,kids,2020-10-17
Polar Bottle Insulated Water Bottle 350ml,Polar Bottle,12.95,0,3.7,3,kids,2020-10-17
Kombi Camp Socks - Children to Youths,Kombi,14.95,0,0,0,kids,2020-10-17
Chaos Multi Tubular Headwear - Children to Youths,Chaos,8.94,40,2.7,3,kids,2020-10-17
The North Face Jr Hedgehog Hiker II Mid WP - Youths,The North Face,99.99,0,3.5,2,kids,2020-10-17
Timbuk2 Hero Pack - Unisex,Timbuk2,94.95,0,4,2,kids,2020-10-17
MEC Scout Shorts - Boys' - Youths,MEC,23.93,47,5,1,kids,2020-10-17
Darn Tough Light Hiker Junior Micro Crew Socks - Youths,Darn Tough,16.95,0,5,1,kids,2020-10-17
Wigwam Pikes Peak Pro Socks - Children to Youths,Wigwam,14.95,0,0,0,kids,2020-10-17
MEC Wanderer Organic Short Sleeve T-Shirt - Girls' - Youths,MEC,7.93,60,0,0,kids,2020-10-17
Bula ZigZag Beanie - Girls' - Children,Bula,22.95,0,0,0,kids,2020-10-17
MEC Bambini Toque - Infants,MEC,12.95,0,4.9,11,kids,2020-10-17
The North Face Freedom Insulated Pants - Girls' - Youths,The North Face,129.99,0,0,0,kids,2020-10-17
Reima Sprig Reimatec Reflective Winter Jacket - Children to Youths,Reima,219.95,0,0,0,kids,2020-10-17
Kombi Daredevil Gloves - Children,Kombi,44.95,0,0,0,kids,2020-10-17
Outdoor Research Rambler Sombrero - Children to Youths,Outdoor Research,18.94,43,4.7,23,kids,2020-10-17
MEC Skylight UPF Long Sleeve T-Shirt - Girls' - Youths,MEC,14.94,47,4,1,kids,2020-10-17
MEC Hashtag Sunglasses - Youths,MEC,34.95,40,5,6,kids,2020-10-17
Kombi Merino Blend Crew Top - Children,Kombi,49.95,0,0,0,kids,2020-10-17
Kombi La Canadienne Mitts - Children to Youths,Kombi,34.95,0,0,0,kids,2020-10-17
Keen Targhee Mid Waterproof Shoes - Boys' - Children to Youths,Keen,94.95,0,3.3,3,kids,2020-10-17
MEC Whiteout Bandana - Children to Youths,MEC,9.95,0,0,0,kids,2020-10-17
WrightSock Escape Crew Socks - Children to Youths,WrightSock,15.95,0,3,2,kids,2020-10-17
Thule Child Trailer Axle Mount ezHitch - Children,Thule,59.95,0,4,2,kids,2020-10-17
MEC Shadow Short Sleeve Sun Shirt - Children,MEC,14.93,40,0,0,kids,2020-10-17
The North Face Glacier 1/4 Snap - Children,The North Face,35.97,20,0,0,kids,2020-10-17
The North Face Montana Gore-Tex Mitts - Youths,The North Face,59.99,0,1,1,kids,2020-10-17
United By Blue 3/4 Sleeve Baseball T-Shirt - Youths,United,11.94,52,0,0,kids,2020-10-17
MEC Discovery Pack - Children to Youths,MEC,129.95,0,5,4,kids,2020-10-17
Nalgene MEC Speed Stream Widemouth Bottle,Nalgene,16.95,0,0,0,kids,2020-10-17
The North Face Camplayer Fleece Hoodie - Girls' - Youths,The North Face,95.97,20,5,1,kids,2020-10-17
MEC Journey Short Sleeve T-Shirt - Youths,MEC,13.97,30,5,1,kids,2020-10-17
Outside Inside Backpack Cribbage with Playing Cards,Outside Inside,21.95,0,4,4,kids,2020-10-17
The North Face Recon Daypack - Unisex,The North Face,119.99,0,4,4,kids,2020-10-17
MEC Trekker Sunglasses - Infants,MEC,10.95,40,4.2,5,kids,2020-10-17
Patagonia Snowbelle Jacket - Girls' - Youths,Patagonia,249,0,4,1,kids,2020-10-17
Luumi Platinum Silicone Bag,Luumi,11.94,25,5,3,kids,2020-10-17
Freewaters Supreem Scout Sandals - Children to Youths,Freewaters,12.93,57,4,1,kids,2020-10-17
MEC Skylight UPF Hoodie - Infants,MEC,9.93,55,0,0,kids,2020-10-17
MEC Ryan Sunglasses - Children to Youths,MEC,13.95,0,3.3,3,kids,2020-10-17
Darn Tough Via Ferrata Junior Micro Crew - Children to Youths,Darn Tough,17.95,0,4.8,4,kids,2020-10-17
MEC Chinook Sunglasses - Children,MEC,12.95,0,4.7,11,kids,2020-10-17
The North Face Montana Gore-Tex Gloves - Youths,The North Face,64.99,0,0,0,kids,2020-10-17
MEC Sunnyday Shorts - Infants,MEC,8.93,53,3.5,2,kids,2020-10-17
The North Face Glacier Full Zip Hoodie - Girls' - Youths,The North Face,64.99,20,0,0,kids,2020-10-17
Merrell Chameleon 7 Access Mid A/C Waterproof Shoes - Children to Youths,Merrell,84.95,0,4,8,kids,2020-10-17
Nite Ize NiteHowl LED Rechargeable Safety Necklace,Nite Ize,24.95,0,4.5,17,kids,2020-10-17
Kavat Yxhult XC Winter Boots - Infants,Kavat,62.38,52,0,0,kids,2020-10-17
Darn Tough Hiker Junior 1/4 Socks - Youths,Darn Tough,15.95,0,4.7,3,kids,2020-10-17
Bogs Classic Waterproof Insulated Boots - Children to Youths,Bogs,99.95,0,5,3,kids,2020-10-17
MEC Sunnyday Shorts - Children,MEC,26.95,56,4.5,2,kids,2020-10-17
Light My Fire Snap Box Oval BIO,Light,8.94,25,0,0,kids,2020-10-17
Kombi B3 Cozy Fleece Set Junior - Children,Kombi,59.95,0,0,0,kids,2020-10-17
The North Face Freedom Triclimate - Youths,The North Face,219.99,0,0,0,kids,2020-10-17
Shotgun Kids Front Mounted Bike Seat - Youths,Shotgun Kids,219.95,0,0,0,kids,2020-10-17
Stojo Collapsible Biggie Cup,Stojo,24.95,0,4,4,kids,2020-10-17
Columbia Newton Ridge Suede Boots - Children to Youths,Columbia,89.95,0,5,2,kids,2020-10-17
Aerobie Aerobie Superdisc,Aerobie,19.95,0,0,0,kids,2020-10-17
Patagonia Logo Beanie - Children to Youths,Patagonia,35,0,0,0,kids,2020-10-17
Aerobie Sprint Ring,Aerobie,10.5,0,0,0,kids,2020-10-17
Reima Riggu Reimatec Reflective Mittens - Children to Youths,Reima,64.95,0,0,0,kids,2020-10-17
The North Face Oh-Mega Fur Pom Beanie - Youths,The North Face,39.99,0,0,0,kids,2020-10-17
Reima Bulo Reflective Beanie - Children to Youths,Reima,49.95,0,0,0,kids,2020-10-17
Osprey Ace 38 Backpack - Youths,Osprey,199.95,0,0,0,kids,2020-10-17
Keen Terradora Low Waterproof Shoes - Youths,Keen,84.95,0,3.5,2,kids,2020-10-17
MEC Zero Day Cotton Cap - Youths,MEC,6.93,57,0,0,kids,2020-10-17
MEC Mako (ALS) Sunglasses - Children to Youths,MEC,29.95,0,1.6,14,kids,2020-10-17
Aerobie Pro Ring,Aerobie,14.5,0,5,1,kids,2020-10-17
Osprey Poco Raincover,Osprey,49.95,0,0,0,kids,2020-10-17
Kombi Craze Hat - Children,Kombi,24.95,0,5,1,kids,2020-10-17
