,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
"MEC Terrena Stretch 5"" Shorts - Women's",MEC,59.95,30,5,5,clothing,2020-10-17
Pearl Izumi Rove Shirt - Women's,Pearl Izumi,69.93,50,0,0,clothing,2020-10-17
Speedo Quantum Fusion Splice One Piece Swimsuit - Women's,Speedo,84.95,0,0,0,clothing,2020-10-17
Fjallraven Abisko Midsummer Trousers - Women's,Fjallraven,179.95,0,0,0,clothing,2020-10-17
Arc'teryx Norvan SL Hoody - Women's,Arc'teryx,307.94,30,4.6,26,clothing,2020-10-17
Toad &Co Hutton Sherpa Jacket - Women's,Toad,103.98,60,0,0,clothing,2020-10-17
Houdini Daybreak Jacket - Women's,Houdini,149.93,50,5,1,clothing,2020-10-17
Fjallraven Kiruna Padded Parka - Women's,Fjallraven,429.95,0,4,4,clothing,2020-10-17
Arc'teryx Proton FL Hoody - Women's,Arc'teryx,329.95,0,4.5,6,clothing,2020-10-17
Prana Halle Straight - Women's,Prana,78.97,19,4.3,10,clothing,2020-10-17
Smartwool Sulawesi Stripe Crew Socks - Women's,Smartwool,24.95,0,4.2,42,clothing,2020-10-17
Fjallraven High Coast Lite Trousers - Women's,Fjallraven,149.95,0,5,1,clothing,2020-10-17
Showers Pass Syncline CC Jacket - Women's,Showers Pass,169.95,0,3.8,4,clothing,2020-10-17
Organic Basics Organic Triangle Bra - Women's,Organic Basics,39.95,0,4.1,14,clothing,2020-10-17
The North Face Tekno Hoodie Pullover - Women's,The North Face,89.94,47,0,0,clothing,2020-10-17
Mammut Aconcagua Light Hybrid Mid-layer Hooded Jacket - Women's,Mammut,145.02,44,0,0,clothing,2020-10-17
Smartwool Traditional Snowflake Socks - Women's,Smartwool,29.95,0,4.2,22,clothing,2020-10-17
The North Face Cragmont Fleece Coat - Women's,The North Face,239.99,0,0,0,clothing,2020-10-17
Vuori Lunar Pants - Women's,Vuori,51.94,51,4,1,clothing,2020-10-17
MEC Wanderwall Shorts - Women's,MEC,35.94,40,5,13,clothing,2020-10-17
Smartwool Hike Medium Crew Socks - Women's,Smartwool,24.95,0,4.8,86,clothing,2020-10-17
Toad &Co Epiq Jacardi Hoodie - Women's,Toad,64.93,50,5,1,clothing,2020-10-17
Indygena Lastik Jogger Pants - Women's,Indygena,119.95,0,4.5,4,clothing,2020-10-17
Houdini Outright Houdi - Women's,Houdini,134.94,50,0,0,clothing,2020-10-17
Arc'teryx Atom SL Hoody - Women's,Arc'teryx,259.95,0,4.7,45,clothing,2020-10-17
Patagonia Lightweight A/C Buttondown Shirt - Women's,Patagonia,75.94,30,3,2,clothing,2020-10-17
