,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
Polar Bottle Insulated Water Bottle 350ml,Polar Bottle,12.95,0,3.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene MEC S'more Adventure Widemouth Bottle,Nalgene,16.95,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
MEC Kids Lunch Bag,MEC,20.95,0,5.0,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Katadyn MicroPur MP1 Water Treatment Tablets,Katadyn,20.00,0,4.2,32,camping-and-hiking,kitchen-and-hydration,2020-10-20
Grayl Ultralight Water Purifier Bottle,Grayl,99.95,0,4.3,360,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR TrailShot Microfilter,MSR,68.95,0,4.1,15,camping-and-hiking,kitchen-and-hydration,2020-10-20
Primus Essential Trail Stove,Primus,29.95,0,4.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
RXBAR Blueberry,RXBAR,2.95,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Cocoa Camino Fair Trade  & Organic Instant Dark Hot Chocolate,Cocoa Camino,6.95,0,4.8,9,camping-and-hiking,kitchen-and-hydration,2020-10-20
Probar Base/Core Peanut Butter Chocolate Bar,Probar,3.40,0,4.5,2,camping-and-hiking,kitchen-and-hydration,2020-10-20
Humangear FlexiBowl,Humangear,19.95,0,4.2,700,camping-and-hiking,kitchen-and-hydration,2020-10-20
Klean Kanteen TKWide Cafe Bottle 355ml,Klean Kanteen,37.95,0,2.0,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
Humangear GoTubb 86ml 3-Pack,Humangear,12.95,0,4.0,1272,camping-and-hiking,kitchen-and-hydration,2020-10-20
SEA TO SUMMIT Alpha Pot,SEA,69.95,0,4.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
Klean Kanteen Wide Stainless Steel Bottle 1.18L,Klean Kanteen,35.00,0,4.4,75,camping-and-hiking,kitchen-and-hydration,2020-10-20
GSI Glacier Stainless Steel 1.1L Boiler,GSI,32.95,0,4.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Gingerade Gel,GU,2.25,0,4.0,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Humangear GoBites Quattro,Humangear,19.00,0,4.3,675,camping-and-hiking,kitchen-and-hydration,2020-10-20
Platypus Gravityworks Filter Cartridge,Platypus,59.95,0,4.6,7,camping-and-hiking,kitchen-and-hydration,2020-10-20
Probar Base/Core Cookie Dough Bar,Probar,3.40,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene MEC Skyline Widemouth Bottle,Nalgene,16.95,0,4.7,3,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene 500ml Everyday Narrow-Mouth Water Bottle,Nalgene,12.25,0,5.0,8,camping-and-hiking,kitchen-and-hydration,2020-10-20
